DATE,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I71,I72,I73,I74,I75,I76,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I90,I91,I92,I93,I94,I95,I96
5/31/2015,118.836,114.4,107.527,105.447,100.416,95.654,93.669,90.572,88.939,86.51,82.944,80.943,78.144,76.087,74.61,74.778,75.566,72.775,75.666,74.534,74.217,75.574,75.181,73.296,72.947,75.29,74.899,76.135,78.621,78.073,83.84,86.679,84.996,90.877,94.006,97.376,102.989,107.123,108.661,108.924,108.192,111.323,110.327,114.062,117.76,115.001,118.062,116.429,118.647,122.408,123.733,125.121,131.512,130.133,132.916,133.706,138.284,140.8,141.773,143.529,145.416,150.255,149.437,148.636,153.133,163.335,158.209,162.636,164.737,160.7,163.375,167.647,167.721,174.141,171.063,168.43,169.025,161.142,162.407,167.6,166.5,170.97,172.132,171.397,168.283,166.497,164.642,160.483,147.472,145.578,138.369,134.608,126.917,122.518,119.959,111.183
6/1/2015,109.04,103.642,96.856,92.205,91.047,88.056,83.919,81.824,79.088,76.187,75.869,75.846,75.641,75.88,75.369,73.686,72.309,74.721,74.263,75.832,76.149,78.823,84.413,84.808,87.748,92.246,95.228,98.194,100.979,107.145,108.617,108.032,106.178,104.202,101.598,102.42,103.323,105.6,104.478,103.091,103.166,106.971,109.211,109.326,115.129,115.487,117.612,122.801,120.739,124.305,124.971,126.579,127.335,131.387,132.275,132.06,130.409,129.574,131.869,135.136,135.109,140.108,143.216,148.119,148.203,152.308,151.582,151.039,150.662,153.51,158.74,160.555,162.001,160.142,156.39,157.031,159.412,160.368,161.223,164.918,165.065,174.094,171.213,173.843,167.269,162.241,156.316,151.51,146.377,142.458,139.458,133.06,128.57,123.624,114.155,106.18
6/2/2015,102.134,96.117,94.315,90.562,86.572,83.631,80.308,79.996,79.128,76.584,75.276,73.832,73.308,72.667,72.46,72.842,71.407,72.112,72.522,71.628,73.744,76.694,79.351,80.404,85.276,89.761,93.051,97.117,99.046,104.216,103.524,102.517,105.648,103.832,105.442,102.556,103.172,102.293,105.019,108.893,112.547,106.148,109.486,112.562,118.229,118.442,119.571,120.67,126.514,128.716,126.639,128.932,128.015,136.089,132.733,137.963,140.491,145.824,150.42,143.258,150.273,149.956,156.501,155.902,160.719,160.942,160.274,159.631,157.722,165.056,168.156,172.302,170.572,173.214,172.848,163.605,164.25,162.823,165.742,164.288,166.629,177.412,179.999,173.869,176.46,175.052,171.524,168.06,155.083,149.495,146.11,138.904,129.075,124.256,117.989,109.083
6/3/2015,106.133,102.138,102.868,97.318,94.555,91.328,89.028,87.706,83.371,82.004,80.585,80.85,78.403,77.493,77.282,77.025,76.97,75.558,77.002,75.577,78.333,79.643,80.221,84.349,90.73,94.599,101.258,102.941,108.046,113.487,109.524,108.282,110.074,112.135,111.519,109.268,111.638,113.131,112.091,113.328,115.643,117.343,116.946,117.139,117.758,118.43,116.275,117.667,121.749,121.13,121.057,123.276,118.749,123.51,121.424,121.024,119.849,122.135,123.545,123.039,124.599,122.006,127.358,127.699,130.445,131.682,133.399,134.72,133.238,136.995,133.161,137.046,137.497,136.895,136.963,136.428,137.094,139.774,138.413,141.783,147.34,157.186,162.06,162.634,160.409,153.721,149.253,145.702,146.281,141.24,134.686,127.48,120.699,117.344,111.877,108.156
6/4/2015,101.659,101.502,97.096,92.907,87.422,87.829,84.851,82.237,79.852,78.175,77.381,76.488,75.985,75.187,75.094,74.884,73.4,74.783,74.169,76.697,80.035,79.408,82.711,85.772,90.715,95.887,102.784,103.059,106.695,110.124,112.43,108.676,102.59,104.661,104.158,106.613,104.949,102.983,104.914,106.419,105.128,108.707,109.823,109.795,110.107,113.286,111.531,112.652,112.527,118.259,120.97,118.319,119.699,122.15,117.41,123.434,121.37,124.668,123.647,121.843,121.213,123.641,125.728,125.054,129.056,124.132,120.554,123.094,122.327,124.979,126.272,129.801,128.439,130.33,134.213,136.755,133.314,136.451,138.6,143.368,147.067,150.929,151.003,150.47,149.586,146.945,142.78,137.948,134.336,131.611,127.388,122.527,115.853,109.751,104.148,102.301
6/5/2015,99.752,95.491,90.956,86.572,84.856,81.189,80.774,78.025,76.145,77.72,75.21,72.238,71.984,72.902,72.76,72.221,71.67,72.766,72.148,74.156,74.407,75.237,78.425,82.5,84.006,87.991,90.321,93.272,98.019,101.96,104.13,103.977,104.194,106.599,106.239,108.522,110.032,110.328,108.297,109.709,112.623,113.781,112.668,115.264,116.301,121.129,119.876,120.057,124.651,127.325,131.181,134.088,134.171,132.4,131.653,129.546,132.882,137.328,135.454,128.861,128.312,130.477,130.767,133.178,132.994,140.127,136.729,137.803,140.215,141.583,141.968,139.265,142.172,144.995,140.887,137.267,136.206,135.405,140.465,140.965,148.162,147.165,148.195,147.624,149.451,152.124,149.768,145.238,140.033,136.175,135.535,131.102,127.4,119.532,113.921,108.281
6/6/2015,101.736,101.016,96.621,94.176,88.133,84.103,83.819,77.835,75.765,75.109,73.452,75.536,70.82,70.989,73.675,72.909,73.779,72.164,69.939,69.123,71.719,72.415,72.616,72.974,75.367,78.282,78.821,81.339,83.421,85.121,87.721,94.519,98.72,101.418,100.833,101.981,106.764,109.104,112.558,117.3,116.565,120.93,120.805,122.36,120.32,124.326,122.435,123.77,124.436,126.305,127.632,129.506,130.417,131.052,131.231,134.425,135.883,146.425,147.133,145.564,139.584,142.992,143.228,147.641,153.543,155.589,158.022,158.217,157.273,156.968,159.018,154.835,157.418,158.832,153.723,146.585,146.881,149.932,151.438,151.082,158.096,159.411,158.41,161.788,162.513,160.292,159.712,158.74,158.242,152.282,142.733,140.357,140.036,133.647,130.006,123.064
6/7/2015,110.478,104.677,99.508,95.565,95.004,92.8,91.736,88.055,85.347,84.703,81.878,81.415,80.875,79.478,78.885,76.89,76.959,75.264,75.862,75.208,74.895,75.21,78.676,75.454,76.527,78.183,79.589,80.018,84.949,88.046,88.774,89.591,92.03,100.008,104.045,107.462,112.36,110.531,112.782,117.39,120.287,122.651,128.164,126.466,128.524,132.62,133.714,137.336,140.826,144.521,147.377,151.651,158.722,161.323,165.565,170.113,173.138,181.114,186.344,185.026,187.447,191.755,197.169,195.994,192.503,191.138,201.395,207.746,211.443,205.927,206.042,206.643,206.707,206.996,204.857,202.668,199.635,202.819,201.148,200.204,201.621,208.5,208.458,205.448,199.152,195.731,190.833,188.416,180.695,176.084,170.356,157.533,148.639,141.25,132.624,126.193
6/8/2015,121.965,114.999,110.777,106.54,103.206,99.467,93.611,91.783,88.08,89.539,85.249,82.139,81.171,80.486,79.246,78.527,77.805,78.109,77.658,77.86,79.658,79.743,82.605,87.157,91.53,94.364,96.262,98.138,100.331,103.108,106.806,104.383,108.323,109.003,108.895,111.878,120.096,113.843,118.839,124.901,126.812,130.107,136.357,145.689,156.028,162.765,158.572,167.885,172.694,178.838,185.657,191.866,197.781,203.919,206.917,213.63,215.571,222.708,222.643,225.826,235.052,234.055,241.901,246.749,250.279,255.387,257.705,266.471,264.567,266.234,265.583,270.548,274.164,277.368,275.958,269.907,273.858,268.47,263.622,255.453,255.828,259.263,248.054,240.642,235.433,226.788,215.557,205.196,206.506,198.728,192.786,180.845,169.479,157.257,148.235,137.908
6/9/2015,132.305,127.885,119.152,117.432,112.654,110.115,107.568,102.01,100.032,96.759,94.691,90.661,91.693,90.043,91.554,90.531,87.966,89.117,91.996,89.653,88.913,88.77,91.953,94.212,101.372,99.706,104.016,104.508,107.262,111.265,116.239,117.141,116.454,112.734,118.3,121.019,120.15,121.391,121.768,123.716,127.128,126.795,127.102,132.6,132.329,132.544,132.943,137.976,139.242,143.431,146.115,147.143,148.898,149.406,145.828,145.918,150.823,150.551,151.323,146.801,145.789,147.176,150.651,152.273,148.05,148.243,141.629,137.349,142.518,146.335,154.133,154.499,155.44,152.812,152.065,159.344,161.195,158.914,169.175,169.847,173.466,174.689,181.713,180.155,180.404,178.902,180.285,175.233,171.706,167.74,153.287,153.735,143.057,136.721,130.016,123.701
