78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,99.043,119.75,99.043,99.043,99.043
78.335,78.335,78.335,78.335,78.335,99.043,99.043,99.043,99.043,99.043,99.043,99.043,99.043,119.75,140.46,119.75,119.75,119.75,99.043,99.043,99.043,99.043,99.043,99.043
99.043,99.043,99.043,99.043,99.043,99.043,99.043,99.043,99.043,140.46,140.46,119.75,119.75,119.75,119.75,119.75,119.75,99.043,99.043,99.043,119.75,119.75,119.75,119.75
119.75,119.75,119.75,99.043,119.75,99.043,99.043,99.043,99.043,140.46,119.75,140.46,140.46,119.75,119.75,119.75,99.043,99.043,119.75,119.75,119.75,119.75,140.46,140.46
140.46,140.46,119.75,140.46,119.75,99.043,99.043,119.75,119.75,119.75,140.46,161.17,161.17,161.17,161.17,161.17,140.46,140.46,99.043,119.75,119.75,119.75,140.46,161.17
119.75,119.75,140.46,140.46,119.75,119.75,119.75,119.75,140.46,119.75,119.75,119.75,99.043,99.043,119.75,119.75,140.46,161.17,161.17,161.17,161.17,140.46,140.46,119.75
119.75,119.75,99.043,119.75,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335
78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,78.335,99.043,99.043,99.043,99.043,99.043,99.043,99.043,99.043,119.75,140.46,119.75,119.75,119.75,99.043,99.043
99.043,99.043,99.043,99.043,99.043,99.043,99.043,119.75,99.043,99.043,99.043,99.043,99.043,140.46,140.46,119.75,119.75,119.75,119.75,119.75,119.75,99.043,99.043,99.043
119.75,99.043,119.75,119.75,119.75,119.75,119.75,99.043,119.75,99.043,99.043,99.043,99.043,119.75,119.75,140.46,140.46,119.75,119.75,119.75,119.75,99.043,119.75,119.75
119.75,140.46,140.46,140.46,140.46,140.46,119.75,119.75,119.75,99.043,99.043,119.75,99.043,119.75,140.46,161.17,161.17,161.17,161.17,161.17,140.46,140.46,99.043,119.75
